,spotify_id,album,artist,tracks,artist_gender,artist_age,release_date,artist_country,popularity,rating
408,0RTHMVF27KRMHIGnF7iLru,vinyl days ,logic,30,Male,32,17/06/2022,US,51,7
414,2TgXc0KeZDRjb9AsnSED7M,get fricked ,the chats,13,Group,,19/08/2022,GB,51,7
416,261LWEVYViMXijB95mAty3,2000,joey bada$$,14,Male,27,22/07/2022,US,63,7
448,3c0NHNo2Gn0X7uARad3hGv,i didn't mean to haunt you ,quadeca,11,Male,22,10/11/2022,,47,7
449,3Ks0eeH0GWpY4AU20D5HPD,gemini rights ,steve lacy,10,Male,88,15/07/2022,US,77,7
450,2hCcPHWTbvF81CiXPUrM6I,bronco ,orville peck,15,Male,34,08/04/2022,US,56,7
451,1dShPPoxXfzbjFO1jIHJZz,blue rev ,alvvays,14,Group,,07/10/2022,CA,54,7
452,4TYqv90YfbQPWchJmGt0T8,bin reaper 3: old testament ,babytron,15,Male,22,28/10/2022,US,49,7
460,6TzgWk5HZItbFmMT7hH4bU,god save the animals ,alex g,13,Group,,23/09/2022,GB,53,7
465,1h6QGKzD4kzEZDzojyXeoM,chaos now* ,jean dawson,13,Male,156,07/10/2022,FI,46,7
466,3VXLdJpzeaAyX9Tbm0i0zn,"sometimes, forever ",soccer mommy,11,Female,25,24/06/2022,US,43,7
469,1szMY4QqnQZgNuyLBC4jUQ,lucifer on the sofa ,spoon,10,Group,,11/02/2022,US,45,7
471,4ohh1zQ4yybSK9FS7LLyDE,dance fever ,florence + the machine,14,Group,,13/05/2022,GB,64,7
477,1Wgcuni5PXwaTtRoo5SbmF,horsespit on route 66 ,the garden,11,Group,,08/09/2022,GB,51,7
479,1nUwhyn08TSd7Ibg6EWPmv,jodeki ,tricot,24,Group,,15/12/2021,JP,29,7
480,1ndGwkfVOx1WpPGluiOEl9,spirit of ecstasy ,imperial triumphant,8,Group,,22/07/2022,US,20,7
481,5EVRkU1hii3VvUFblfexze,raw data feel ,everything everything,14,Group,,20/05/2022,GB,43,7
483,009EjjwUjtdjvH7UP0wHzi,a light for attracting attention ,the smile,13,Group,,13/05/2022,GB,56,7
493,1S5vq5vSHCnCJnMljIiuS6,formentera ,metric,9,Group,,08/07/2022,CA,44,7
494,4rXBcuJMRSt4izAwXNrTQu,the overload ,yard act,11,Group,,21/01/2022,,46,7
497,46qeiLBu3KwqFQpJBT7t6B,fear of the dawn ,jack white,12,Male,46,08/04/2022,,43,7
499,444RMt69h1rsEgb5JFr2Z6,psychagogue ,krallice,4,Group,,17/06/2022,,4,7
500,1S8KMYJE7raT6e6hfPRLUU,three dimensions deep ,amber mark,17,Male,72,28/01/2022,GB,50,7
501,6jBRjtrgSlOvQvrSdtQa8Q,glitch princess ,yeule,13,Non-binary,24,04/02/2022,GB,39,7
502,1yk448SJRapgsEqCaF81nM,4nem ,chief keef,14,Male,26,17/12/2021,US,56,7
504,5dZcvDyVbM5HplrbzE8r60,shunka ryougen ,haru nemuri,21,,,22/04/2022,,29,7
509,1hngVRZt95TrqPqXoJzQ4A,"and in the darkness, hearts aglow ",weyes blood,10,Female,34,18/11/2022,US,50,7
512,3FpfPUHuUBCG9f4RvvgTH6,there will be no super-slave ,ghais guevara,15,Male,21,16/07/2022,,32,7
519,1NLLTGSKTYOvlFKFtRXFGz,magic ,nas,15,Male,50,14/09/2023,US,51,7
521,2mvvQ1WnfeB5tduglyPCrz,languish arts / woeful studies ,ka,10,Male,68,16/09/2022,,20,7
523,138M0lORis5tDxurpIbd7V,10,westside gunn,12,Male,40,28/10/2022,US,49,7
524,59VjMEiXIOpzLAMAHrLlfj,spiderr ,bladee,13,Male,28,30/09/2022,SE,46,7
525,16AQyjz1z9rOsTm6iVrBUR,mahal ,toro y moi,13,Male,35,29/04/2022,US,46,7
529,0FOqOvLYbfpNsmD4BV8B9R,heavy rocks (2022) ,boris,10,Group,,12/08/2022,JP,13,7
533,2IVL0vnFIe9uHWW1TAocC7,painless ,nilüfer yanya,12,Female,26,04/03/2022,GB,38,7
536,2IHDXQWkvzLVusSifMZDDX,before the glinting spell unvests ,ustalost,6,,,17/12/2021,,7,7
543,1ytUbGMipQRc7E4msTXCX2,before sh!t got weird ,the cool kids,21,Group,,03/03/2022,US,28,7
546,6rFFWK98d8hhdSYgaOxI5L,ugly season ,perfume genius,10,Male,40,17/06/2022,US,31,7
548,5pL9YDRmrXWNPEJGKiYUXs,it's time... to rise from the grave ,undeath,10,Group,,22/04/2022,,26,7
549,6GfYRMD52msi3dHjnGpOWv,time skiffs ,animal collective,9,Group,,04/02/2022,US,29,7
552,57263zG8Md6XZ9lBUPPYCm,no thank you ,little simz,10,Female,28,12/12/2022,GB,58,7
555,4fAgGEM3LIMho5Brx5Gio9,arkhon ,zola jesus,10,Female,33,24/06/2022,US,25,7
556,2yI4m5Yu2tl8v0It5P9WVz,who cares? ,rex orange county,11,Male,23,11/03/2022,,70,7
557,57Gap1bLf80bG8yfhyBjzD,ugly death no redemption angel curse i love you ,ada rook,11,Female,33,23/05/2022,CA,33,7
561,02R7PREL8nCr02CEYLy7YH,big time ,angel olsen,10,Female,35,03/06/2022,US,44,7
566,6jbtHi5R0jMXoliU2OS0lo,motomami ,rosalía,16,Female,29,18/03/2022,ES,72,7
567,2NwAbsKSl0jrpFw7nyeX8v,ghetto gods ,earthgang,17,Group,,25/02/2022,US,47,7
568,7BlWNRjwKnLrf7yf0VdSvg,a tape called component system with the auto reverse ,open mike eagle,6,Male,34,03/02/2015,,29,7
571,3gNLleI1petZq52QmMkcNW,deathfame ,quelle chris,14,Male,37,13/05/2022,US,27,7
583,0TJe1zaoMElWrLSIhmSyKL,electricity ,ibibio sound machine,12,Group,,25/03/2022,GB,32,7
586,36AMMUaumC4bYBcUpVryWu,killing nothing ,boldy james & real bad man,13,Male,39,20/05/2022,,34,7
590,18NOKLkZETa4sWwLMIm0UZ,utopia ,travis scott,19,Male,32,28/07/2023,US,90,7
599,7tWP3OG5dWphctKg4NMACt,quest for fire ,skrillex,15,Male,35,17/02/2023,US,67,7
608,6Per97deaWqrJlKQNX8RGK,let's start here. ,lil yachty,14,Male,25,27/01/2023,US,68,7
617,3QWc9HhBWgk9dIEwOkJx4q,memento mori ,depeche mode,12,Group,,24/03/2023,GB,59,7
621,25Uddgldy3slnChqKqHsIM,aftërlyfe ,yeat,22,Male,23,24/02/2023,US,69,7
625,2X6WyzpxY70eUn3lnewB7d,data ,tainy,20,Male,33,29/06/2023,PR,80,7
630,0e9GjrztzBw8oMC6n2CDeI,the record ,boygenius,12,Group,,31/03/2023,US,72,7
638,64L1urQKsuPJQMteCZX6pX,integrated tech solutions ,aesop rock,18,Male,47,10/11/2023,US,47,7
642,1w7YBHqXz6UfLrVur8JAcW,live at bush hall ,"black country, new road",9,Group,,24/03/2023,,43,7
648,7sfiDMLBSmaP9IYJh7Qwlz,devil music ,portrayal of guilt,10,Group,,20/04/2023,US,29,7
650,6A3JJrCJO2TXZ9Vfy3tIbW,food for worms ,shame,10,Group,,24/02/2023,GB,38,7
653,7t01lwQRDjtEvwiAm88ACH,softscars ,yeule,12,Non-binary,25,22/09/2023,GB,49,7
654,2jFEoWXPcVtO7MX0j12kZ6,voir dire ,earl sweatshirt & the alchemist,11,Group,,06/10/2023,GB,55,7
655,6agQKhrctciHD4QH7KufOS,the death of randy fitzsimmons ,the hives,12,Group,,11/08/2023,GB,53,7
656,0wXpRGFLQVpCi1qpunqBRH,how do you sleep at night? ,teezo touchdown,17,Male,31,10/01/2024,US,57,7
661,77I9CjThngVCVpPtvC67yp,comradely objects ,horse lords,7,Group,,04/11/2022,US,21,7
677,68MBT3yXpXHBSnDT5SCOrF,intercepted message ,osees,12,Group,,18/08/2023,US,37,7
682,5hOFWwfkeWetTEnMTbX4q9,gag order ,kesha,13,Female,36,19/05/2023,US,47,7
684,2fDzuk5guuB5LTCrdHCVqm,the beggar ,swans,11,Group,,23/06/2023,US,24,7
689,3IkNZiLRC15x84CCPL4pIN,self-titled ,spiritual cramp,10,Group,,03/11/2023,,38,7
700,7qngj2U22AGXVoZB6QsZ51,speed run ,frost children,11,Group,,14/04/2023,,37,7
701,0GSARUUhweinQufLR663b4,radical romantics ,fever ray,10,Male,92,10/03/2023,US,33,7
702,7nKNz12BoGEYHqJmwUoC4P,no highs ,tim hecker,11,Male,49,07/04/2023,CA,31,7
706,1Yn50kkCayBEXlOj6Vvc9l,the aux ,blockhead,15,Male,47,21/06/2024,US,34,7
708,1R7oXtXCQEI7GDujxImL87,the patience ,mick jenkins,11,Male,32,18/08/2023,US,51,7
710,2lu7c86G1ptjMJVL9upG1H,false lankum ,lankum,12,Group,,24/03/2023,,42,7
712,0jUAT2Y1TzQf6ScjVJFKQy,fudeki ,tricot,24,Group,,14/12/2022,JP,31,7
713,2ik9ifrDdzxRsJU9fy9TFc,i inside the old year dying ,pj harvey,12,Female,53,07/07/2023,,47,7
721,2gL0IM5SYhCxJebPaKdDkx,weathervanes ,jason isbell and the 400 unit,13,Group,,09/06/2023,US,51,7
729,6CmlLROLOUJZnZ8QeCCpqD,heavy heavy ,young fathers,10,Male,77,03/02/2023,CA,48,7
734,2Wi8OSVCCTQT9sTVKCfoYA,the rime of memory ,panopticon,6,Group,,29/11/2023,US,25,7
735,2aswMmRN4vXGalI39pDsMb,quaranta ,danny brown,11,Male,90,17/11/2023,US,45,7
736,2zz6j2mGH5JHk0ihNvy6KM,again ,oneohtrix point never,13,Male,41,29/09/2023,US,34,7
738,3ss5c9CfkPvTQeQutNcJEm,ontological mysterium ,horrendous,9,Group,,18/08/2023,,27,7
745,2ZwNcWl8h9blysDE8i4juL,playing robots into heaven ,james blake,11,Male,90,08/09/2023,US,50,7
747,5OZ44LaqZbpP3m9B3oT8br,red moon in venus ,kali uchis,15,Female,28,03/03/2023,US,75,7
748,06Zp2J6vjuVSOKHtFcFtJ0,world of hassle ,alan palomo,13,Male,73,15/09/2023,US,32,7
753,364BvIMiL3BsjqTJ9teX1E,excelsior ,slauson malone 1,18,Male,27,06/10/2023,,32,7
757,3CXoPCQuBb7kP9vEFcfXKU,and then you pray for me ,westside gunn,21,Male,41,13/10/2023,US,55,7
758,4Jxk91uFsdzMWcZNyqj6eO,hearth room ,frost children,11,Group,,17/11/2023,,35,7
760,2WJsNhU7H0rZQzWdMVQ4NV,sznz: wint,weezer,28,Group,,21/12/2022,US,42,7
761,2ZwNcWl8h9blysDE8i4juL,playing robots into heaven ,james blake,11,Male,90,08/09/2023,US,50,7
772,5OZ44LaqZbpP3m9B3oT8br,red moon in venus ,kali uchis,15,Female,28,03/03/2023,US,75,7
783,1oTCR7iu3JtzHcEBWv14qf,coin coin chapter five: in the garden... ,matana roberts,16,Female,45,29/09/2023,US,13,7
786,7aJuG4TFXa2hmE4z1yxc3n,hit me hard and soft ,billie eilish,10,Female,22,17/05/2024,US,100,7
787,0FzWvaeMBfKBCqxHTLVlB8,megan ,megan thee stallion,18,Female,29,28/06/2024,US,84,7
788,6U11VNHZAfYY3E9V4oFB2p,tangk ,idles,11,Group,,16/02/2024,GB,62,7
791,4gd3XcQ7dR37m8GimBfiYT,this could be texas ,english teacher,13,Group,,12/04/2024,,51,7
795,4iqbFIdGOTzXeDtt9owjQn,we don't trust you ,future & metro boomin,17,Male,30,22/03/2024,US,90,7
796,5jsfwcWxZIPtF5aaWx0mlL,empathogen ,willow,12,Female,23,03/05/2024,US,66,7
801,0SgF4c7VeFBoATEdpTvgG8,invincible shield ,judas priest,14,Group,,08/03/2024,GB,57,7
807,6ooBxhsOVedpX4zPTCyL86,hyperdrama ,justice,13,Group,,26/04/2024,FR,70,7
808,107WsrBqn5xVPgystkziry,blue lips ,schoolboy q,18,Male,37,01/03/2024,,65,7
813,5ROzqM7rbMYoKbQIw4i7fp,i got heaven ,mannequin p*ssy,10,Female,44,01/03/2024,US,56,7
816,2nYVbfF20AiedBTYcswFAW,moon healer ,job for a cowboy,8,Group,,23/02/2024,US,40,7
817,6Wt3uI8G0yhXSvC0jAl9Cg,fine art ,kneecap,18,Group,,14/06/2024,,54,7
828,10o3OFqQt0gqemtIcCh72x,girl with no face ,allie x,11,Female,38,23/02/2024,US,51,7
830,6xw2hoSzBYynn2dGmERunp,almighty so 2 ,chief keef,16,Male,28,10/05/2024,US,68,7
842,7hUAyfpXkSE2JT5gOORZO0,here in the pitch ,jessica pratt,9,Female,37,03/05/2024,,50,7
844,3C3t2bKhwEL3wdKioqWUDh,timeless ,kaytranada,21,Male,31,07/06/2024,CA,78,7
851,7CzyObXFjSZ3DuxvS5P0pN,my story got stories ,bruiser wolf,14,Male,85,12/01/2024,DE,28,7
859,7q2TYQUhAg9mzIjybDBpGI,dostrotime ,squarepusher,12,Male,49,01/03/2024,,34,7
873,5U20AVSsUvycGtWip4XQfo,orquídeas ,kali uchis,14,Female,29,12/01/2024,US,77,7
876,4MGjgJ8yPEZmmjwE4IgW6y,100% prod i.v. ,lucy,12,Male,41,19/01/2024,,25,7
884,6qmdN6iuwEv16hjiLbZP6W,you could do it tonight ,couch sl*t,9,Group,,19/04/2024,GB,28,7
885,3L2N9iWhyf3e3BeCJNXOSJ,anniversary ,adeem the artist,12,,,03/05/2024,,32,7
886,2jK2rbbnrzsId5WWSc67HP,drop,little simz,7,Female,29,09/02/2024,GB,55,7
5,71O60S5gIJSIAhdnrDIh3N,the album ,blackpink,8,Group,,02/10/2020,KR,73,6
